level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1024	1365	-1	
2	1	1	0	0	0	155	126	87	12	-1	
3	1	1	1	0	0	155	126	87	12	-1	
4	1	1	1	1	0	155	126	87	12	-1	
5	1	1	1	1	1	155	126	61	12	81	COMPX
5	1	1	1	1	2	219	126	23	12	91	102
2	1	2	0	0	0	575	0	251	72	-1	
3	1	2	1	0	0	575	0	251	72	-1	
4	1	2	1	1	0	575	0	251	72	-1	
5	1	2	1	1	1	575	0	251	72	95	  
2	1	3	0	0	0	302	188	527	87	-1	
3	1	3	1	0	0	302	188	527	87	-1	
4	1	3	1	1	0	302	188	526	24	-1	
5	1	3	1	1	1	302	196	68	13	90	otherwise
5	1	3	1	1	2	377	198	42	11	84	create
5	1	3	1	1	3	426	199	7	9	95	a
5	1	3	1	1	4	440	199	28	9	95	new
5	1	3	1	1	5	475	195	35	17	96	plant
5	1	3	1	1	6	517	198	14	9	96	as
5	1	3	1	1	7	537	197	23	13	94	per
5	1	3	1	1	8	566	193	21	12	94	the
5	1	3	1	1	9	594	190	56	16	94	existing
5	1	3	1	1	10	657	188	36	14	84	code.
5	1	3	1	1	11	701	188	30	12	96	You
5	1	3	1	1	12	738	191	24	9	96	can
5	1	3	1	1	13	769	188	31	21	95	check
5	1	3	1	1	14	802	188	26	12	95	if
4	1	3	1	2	0	303	207	526	25	-1	
5	1	3	1	2	1	303	217	34	13	92	there
5	1	3	1	2	2	345	217	11	12	96	is
5	1	3	1	2	3	363	221	16	8	96	an
5	1	3	1	2	4	386	216	56	16	96	existing
5	1	3	1	2	5	449	216	29	16	96	plant
5	1	3	1	2	6	480	216	24	12	96	in
5	1	3	1	2	7	511	215	26	13	96	that
5	1	3	1	2	8	545	213	56	18	96	position
5	1	3	1	2	9	608	212	17	16	96	by
5	1	3	1	2	10	633	209	53	17	89	looping
5	1	3	1	2	11	694	207	51	17	96	through
5	1	3	1	2	12	746	207	32	13	96	the
5	1	3	1	2	13	786	207	21	13	96	list
5	1	3	1	2	14	814	208	15	12	96	of
4	1	3	1	3	0	303	229	525	25	-1	
5	1	3	1	3	1	303	238	46	16	93	plants,
5	1	3	1	3	2	357	237	24	13	96	and
5	1	3	1	3	3	389	237	47	16	90	calling
5	1	3	1	3	4	444	237	21	12	93	the
5	1	3	1	3	5	473	235	67	14	91	IsClicked
5	1	3	1	3	6	548	233	57	14	96	method,
5	1	3	1	3	7	613	231	52	18	96	passing
5	1	3	1	3	8	674	230	12	12	96	in
5	1	3	1	3	9	695	229	21	12	96	the
5	1	3	1	3	10	724	230	51	11	91	current
5	1	3	1	3	11	776	231	52	19	94	mouse
4	1	3	1	4	0	303	248	491	27	-1	
5	1	3	1	4	1	303	259	60	16	90	position.
5	1	3	1	4	2	369	258	27	13	96	Can
5	1	3	1	4	3	401	262	26	12	96	you
5	1	3	1	4	4	433	261	22	13	96	say
5	1	3	1	4	5	461	257	28	13	96	what
5	1	3	1	4	6	490	257	45	16	96	plant
5	1	3	1	4	7	540	255	11	13	96	is
5	1	3	1	4	8	556	257	12	11	96	at
5	1	3	1	4	9	573	254	26	13	96	that
5	1	3	1	4	10	604	252	61	18	94	position,
5	1	3	1	4	11	672	251	11	13	96	if
5	1	3	1	4	12	687	254	25	9	96	one
5	1	3	1	4	13	717	248	53	17	88	already
5	1	3	1	4	14	776	248	18	13	94	is?
2	1	4	0	0	0	154	300	283	16	-1	
3	1	4	1	0	0	154	300	283	16	-1	
4	1	4	1	1	0	154	300	283	16	-1	
5	1	4	1	1	1	154	300	47	16	96	Task
5	1	4	1	1	2	208	301	17	15	95	2:
5	1	4	1	1	3	233	301	101	15	96	BlackJack
5	1	4	1	1	4	340	300	97	16	96	continued
2	1	5	0	0	0	302	326	530	67	-1	
3	1	5	1	0	0	302	326	530	67	-1	
4	1	5	1	1	0	302	326	529	27	-1	
5	1	5	1	1	1	302	335	40	13	88	Mike
5	1	5	1	1	2	348	339	7	9	93	a
5	1	5	1	1	3	361	339	31	12	93	copy
5	1	5	1	1	4	392	339	16	9	94	of
5	1	5	1	1	5	410	335	35	18	17	yeu
5	1	5	1	1	6	447	334	78	17	90	blackjack
5	1	5	1	1	7	531	333	59	17	50	prograin
5	1	5	1	1	8	596	332	33	12	93	froin
5	1	5	1	1	9	635	329	62	19	95	Practical
5	1	5	1	1	10	704	329	14	17	89	2,
5	1	5	1	1	11	722	327	52	14	96	NOTE:
5	1	5	1	1	12	782	326	11	13	96	Do
5	1	5	1	1	13	795	327	36	12	93	not
4	1	5	1	2	0	303	346	529	23	-1	
5	1	5	1	2	1	303	360	23	9	96	use
5	1	5	1	2	2	333	353	33	16	96	Save
5	1	5	1	2	3	374	356	11	12	92	As
5	1	5	1	2	4	387	353	47	15	84	from
5	1	5	1	2	5	441	355	44	13	84	Visual
5	1	5	1	2	6	493	354	50	15	96	Studio,
5	1	5	1	2	7	550	357	14	9	96	as
5	1	5	1	2	8	571	353	25	13	96	this
5	1	5	1	2	9	603	352	31	16	96	only
5	1	5	1	2	10	641	351	44	13	96	makes
5	1	5	1	2	11	693	353	7	9	87	a
